#Top: zusys_wrapper   Floorplan: impl_1   Part: xczu15eg-ffvc900-1-e
#Generated by: Hossam   on: Thu Jan  9 11:36:26 2020
#Build: Vivado v2018.2   by: xbuild   on: Thu Jun 14 20:03:12 MDT 2018
#Package Version: PRODUCTION 1.1 4/25/2017
#Package Pin Delay Version: PRODUCTION 1.0 1/22/2016

#The following package pin(s) are connected to master PCIE reset pins, and #    should be tied off to a 1.8V standard - 
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
47,J14,IOB_X0Y191,IO_L11N_AD1N_47,90.595,91.505,,BASE_12484,BASE_sc0,OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
47,A15,IOB_X0Y157,IO_L1N_AD11N_47,161.265,162.886,,BASE_12484,BASE_sc10_io,INOUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
47,B15,IOB_X0Y156,IO_L1P_AD11P_47,161.088,162.707,,BASE_12484,BASE_sc11,OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
47,C13,IOB_X0Y163,IO_L4N_AD8N_47,148.722,150.217,,BASE_12484,BASE_sc12,IN,,,LVCMOS18,,,,,,,,,,,,,
47,C14,IOB_X0Y162,IO_L4P_AD8P_47,149.989,151.496,,BASE_12484,BASE_sc13,IN,,,LVCMOS18,,,,,,,,,,,,,
47,E13,IOB_X0Y167,IO_L6N_HDGC_AD6N_47,139.449,140.851,,BASE_12484,BASE_sc14,OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
47,E14,IOB_X0Y166,IO_L6P_HDGC_AD6P_47,140.439,141.851,,BASE_12484,BASE_sc15,OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
47,A13,IOB_X0Y161,IO_L3N_AD9N_47,162.047,163.675,,BASE_12484,BASE_sc16,OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
47,B13,IOB_X0Y160,IO_L3P_AD9P_47,157.872,159.459,,BASE_12484,BASE_sc17,OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
47,A14,IOB_X0Y159,IO_L2N_AD10N_47,162.020,163.649,,BASE_12484,BASE_sc18,OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
47,B14,IOB_X0Y158,IO_L2P_AD10P_47,159.693,161.298,,BASE_12484,BASE_sc19,IN,,,LVCMOS18,,,,,,,,,,,,,
47,G13,IOB_X0Y184,IO_L8P_HDGC_AD4P_47,117.653,118.835,,BASE_12484,BASE_sc5,IN,,,LVCMOS18,,,,,,,,,,,,,
47,J15,IOB_X0Y189,IO_L10N_AD2N_47,90.919,91.833,,BASE_12484,BASE_sc6,OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
47,K15,IOB_X0Y188,IO_L10P_AD2P_47,92.009,92.934,,BASE_12484,BASE_sc7,OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
230,G7,GTHE4_COMMON_X1Y3,MGTREFCLK0N_230,51.514,52.032,,gtrefclk_in_12484,gtrefclk_in_clk_n,IN,N,gtrefclk_in_clk_p,,,,,,,,,,,,,,
230,G8,GTHE4_COMMON_X1Y3,MGTREFCLK0P_230,51.285,51.801,,gtrefclk_in_12484,gtrefclk_in_clk_p,IN,P,gtrefclk_in_clk_n,,,,,,,,,,,,,,
230,A3,GTHE4_CHANNEL_X1Y15,MGTHRXN3_230,88.350,89.238,,sfp_12484,sfp_rxn,IN,N,sfp_rxp,,,,,,,,,,,,,,
230,A4,GTHE4_CHANNEL_X1Y15,MGTHRXP3_230,88.494,89.384,,sfp_12484,sfp_rxp,IN,P,sfp_rxn,,,,,,,,,,,,,,
230,A7,GTHE4_CHANNEL_X1Y15,MGTHTXN3_230,72.986,73.719,,sfp_12484,sfp_txn,OUT,N,sfp_txp,,,,,,,,,,,,,,
230,A8,GTHE4_CHANNEL_X1Y15,MGTHTXP3_230,72.813,73.545,,sfp_12484,sfp_txp,OUT,P,sfp_txn,,,,,,,,,,,,,,
47,F15,IOB_X0Y182,IO_L7P_HDGC_AD5P_47,116.868,118.042,,,ADC_SDATA,IN,,,LVCMOS18,,,,,,,,,,,,,
47,G14,IOB_X0Y187,IO_L9N_AD3N_47,97.608,98.589,,,LRCLK,IN,,,LVCMOS18,,,,,,,,,,,,,
47,E15,IOB_X0Y183,IO_L7N_HDGC_AD5N_47,116.828,118.002,,,DAC_SDATA,OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
47,G15,IOB_X0Y186,IO_L9P_AD3P_47,104.391,105.440,,,BCLK,IN,,,LVCMOS18,,,,,,,,,,,,,
0,AB14,,POR_OVERRIDE,72.000,72.724,,,,,,,,,,,,,,,,,,,,
0,AB15,,PUDC_B,69.468,70.166,,,,,,,,,,,,,,,,,,,,
0,T15,,GNDADC,58.850,59.441,,,,,,,,,,,,,,,,,,,,
0,T16,,VCCADC,57.141,57.715,,,,,,,,,,,,,,,,,,,,
0,U15,,VREFN,61.863,62.485,,,,,,,,,,,,,,,,,,,,
0,V16,,VREFP,82.517,83.346,,,,,,,,,,,,,,,,,,,,
0,W15,,DXN,71.161,71.876,,,,,,,,,,,,,,,,,,,,
0,W16,,DXP,76.854,77.626,,,,,,,,,,,,,,,,,,,,
47,D14,IOB_X0Y165,IO_L5N_HDGC_AD7N_47,143.785,145.230,,,,,,,,,,,,,,,,,,,,
47,D15,IOB_X0Y164,IO_L5P_HDGC_AD7P_47,143.822,145.267,,,,,,,,,,,,,,,,,,,,
47,F13,IOB_X0Y185,IO_L8N_HDGC_AD4N_47,116.699,117.872,,,,,,,,,,,,,,,,,,,,
47,K14,IOB_X0Y190,IO_L11P_AD1P_47,90.545,91.455,,,,,,,,,,,,,,,,,,,,
47,H13,IOB_X0Y193,IO_L12N_AD0N_47,90.640,91.551,,,,,,,,,,,,,,,,,,,,
47,H14,IOB_X0Y192,IO_L12P_AD0P_47,95.574,96.535,,,,,,,,,,,,,,,,,,,,
47,H15,,VCCO_47,,,,,,,,,,,,,,,,,,,,VCCO_47,1.80,
47,J13,,VCCO_47,,,,,,,,,,,,,,,,,,,,VCCO_47,1.80,
48,B11,IOB_X0Y209,IO_L1N_AD15N_48,125.563,126.825,,,,,,,,,,,,,,,,,,,,
48,C12,IOB_X0Y208,IO_L1P_AD15P_48,125.921,127.187,,,,,,,,,,,,,,,,,,,,
48,A11,IOB_X0Y211,IO_L2N_AD14N_48,132.373,133.703,,,,,,,,,,,,,,,,,,,,
48,A12,IOB_X0Y210,IO_L2P_AD14P_48,132.812,134.147,,,,,,,,,,,,,,,,,,,,
48,A10,IOB_X0Y213,IO_L3N_AD13N_48,132.298,133.628,,,,,,,,,,,,,,,,,,,,
48,B10,IOB_X0Y212,IO_L3P_AD13P_48,132.049,133.377,,,,,,,,,,,,,,,,,,,,
48,C11,IOB_X0Y215,IO_L4N_AD12N_48,115.262,116.420,,,,,,,,,,,,,,,,,,,,
48,D11,IOB_X0Y214,IO_L4P_AD12P_48,116.407,117.577,,,,,,,,,,,,,,,,,,,,
48,D12,IOB_X0Y217,IO_L5N_HDGC_48,105.711,106.773,,,,,,,,,,,,,,,,,,,,
48,E12,IOB_X0Y216,IO_L5P_HDGC_48,106.740,107.813,,,,,,,,,,,,,,,,,,,,
48,D10,IOB_X0Y219,IO_L6N_HDGC_48,105.933,106.997,,,,,,,,,,,,,,,,,,,,
48,E10,IOB_X0Y218,IO_L6P_HDGC_48,106.059,107.125,,,,,,,,,,,,,,,,,,,,
48,F11,IOB_X0Y221,IO_L7N_HDGC_48,91.359,92.277,,,,,,,,,,,,,,,,,,,,
48,F12,IOB_X0Y220,IO_L7P_HDGC_48,92.121,93.047,,,,,,,,,,,,,,,,,,,,
48,F10,IOB_X0Y223,IO_L8N_HDGC_48,81.949,82.772,,,,,,,,,,,,,,,,,,,,
48,G10,IOB_X0Y222,IO_L8P_HDGC_48,81.727,82.548,,,,,,,,,,,,,,,,,,,,
48,K12,IOB_X0Y225,IO_L9N_AD11N_48,65.958,66.621,,,,,,,,,,,,,,,,,,,,
48,K13,IOB_X0Y224,IO_L9P_AD11P_48,72.492,73.221,,,,,,,,,,,,,,,,,,,,
48,G11,IOB_X0Y227,IO_L10N_AD10N_48,77.974,78.757,,,,,,,,,,,,,,,,,,,,
48,H12,IOB_X0Y226,IO_L10P_AD10P_48,79.100,79.894,,,,,,,,,,,,,,,,,,,,
48,H11,IOB_X0Y229,IO_L11N_AD9N_48,66.045,66.709,,,,,,,,,,,,,,,,,,,,
48,J12,IOB_X0Y228,IO_L11P_AD9P_48,69.247,69.943,,,,,,,,,,,,,,,,,,,,
48,J10,IOB_X0Y231,IO_L12N_AD8N_48,65.473,66.131,,,,,,,,,,,,,,,,,,,,
48,J11,IOB_X0Y230,IO_L12P_AD8P_48,65.719,66.380,,,,,,,,,,,,,,,,,,,,
48,H10,,VCCO_48,,,,,,,,,,,,,,,,,,,,VCCO_48,,
48,K11,,VCCO_48,,,,,,,,,,,,,,,,,,,,VCCO_48,,
64,AH11,IOB_X1Y12,IO_T0U_N12_VRP_64,89.337,90.235,,,,,,,,,,,,,,,,,,,,
