Sample in Buffer,Sample in Window,TRIGGER,zusys_i/system_ila_0/U0/probe0_1[0:15]
0,0,0,0869
1,1,0,1100
2,2,0,7412
3,3,0,0804
4,4,0,2008
5,5,0,0804
6,6,0,05c8
7,7,0,2090
8,8,0,0822
9,9,0,e68a
10,10,0,2472
11,11,0,2f0c
12,12,0,196a
13,13,0,66d3
14,14,0,6c5a
15,15,0,7204
16,16,0,538c
17,17,0,e422
18,18,0,8afb
19,19,0,978f
20,20,0,f110
21,21,0,34a0
22,22,0,2612
23,23,0,0c8c
24,24,0,3182
25,25,0,2486
26,26,0,1d3b
27,27,0,44c2
28,28,0,8822
29,29,0,0548
30,30,0,6001
31,31,0,8028
32,32,0,8828
33,33,0,24fd
34,34,0,1030
35,35,0,0002
36,36,0,200c
37,37,0,0842
38,38,0,2400
39,39,0,0512
40,40,0,ea82
41,41,0,32a0
42,42,0,11c8
43,43,0,8844
44,44,0,f578
45,45,0,5922
46,46,0,1b52
47,47,0,3323
48,48,0,749a
49,49,0,8137
50,50,0,2f37
51,51,0,0c8e
52,52,0,13c8
53,53,0,f2d8
54,54,0,8812
55,55,0,2082
56,56,0,9800
57,57,0,8402
58,58,0,a082
59,59,0,0240
60,60,0,1108
61,61,0,1012
62,62,0,1304
63,63,0,0240
64,64,0,8c42
65,65,0,0048
66,66,0,0000
67,67,0,2286
68,68,0,2208
69,69,0,0924
70,70,0,0108
71,71,0,240c
72,72,0,2222
73,73,0,0906
74,74,0,2422
75,75,0,e751
76,76,0,60e6
77,77,0,8113
78,78,0,d02c
79,79,0,9c70
80,80,0,e8e0
81,81,0,3d98
82,82,0,0c92
83,83,0,0144
84,84,0,8c10
85,85,0,8162
86,86,0,7218
87,87,0,b029
88,88,0,d5a8
89,89,0,269e
90,90,0,3cb0
91,91,0,a0f8
92,92,0,0410
93,93,0,0712
94,94,0,2830
95,95,0,2002
96,96,0,4018
97,97,0,3041
98,98,0,1300
99,99,0,0640
100,100,0,2220
101,101,0,a082
102,102,0,2008
103,103,0,410c
104,104,0,7d48
105,105,0,0180
106,106,0,0504
107,107,0,2042
108,108,0,0140
109,109,0,0192
110,110,0,0040
111,111,0,2580
112,112,0,2090
113,113,0,8000
114,114,0,28a0
115,115,0,0808
116,116,0,110e
117,117,0,2410
118,118,0,6c80
119,119,0,303d
120,120,0,6c02
121,121,0,4447
122,122,0,88f2
123,123,0,208c
124,124,0,fb20
125,125,0,3b41
126,126,0,9d4c
127,127,0,6b7a
128,128,0,cd28
129,129,0,2146
130,130,0,0406
131,131,0,2104
132,132,0,4008
133,133,0,1044
134,134,0,0104
135,135,0,0401
136,136,0,441c
137,137,0,0400
138,138,0,1411
139,139,0,9104
140,140,0,2440
141,141,0,1101
142,142,0,5080
143,143,0,7448
144,144,0,7c61
145,145,0,6103
146,146,0,8479
147,147,0,7d98
148,148,0,72b6
149,149,0,8f44
150,150,0,1133
151,151,0,3c45
152,152,0,5546
153,153,0,789c
154,154,0,76c4
155,155,0,d8b4
156,156,0,6482
157,157,0,bc45
158,158,0,381c
159,159,0,1145
160,160,0,3823
161,161,0,dc11
162,162,0,9104
163,163,0,4c00
164,164,0,10c0
165,165,0,0402
166,166,0,3b00
167,167,0,8544
168,168,0,6f18
169,169,0,9044
170,170,0,05ee
171,171,0,0020
172,172,0,0404
173,173,0,3412
174,174,0,b871
175,175,0,cf65
176,176,0,7cc7
177,177,0,89b9
178,178,0,9c93
179,179,0,34a8
180,180,0,8505
181,181,0,c410
182,182,0,96e0
183,183,0,6f44
184,184,0,bca1
185,185,0,e6a1
186,186,0,9c18
187,187,0,2111
188,188,0,0040
189,189,0,3044
190,190,0,8011
191,191,0,5110
192,192,0,5004
193,193,0,0041
194,194,0,2044
195,195,0,1001
196,196,0,5040
197,197,0,1104
198,198,0,0410
199,199,0,2445
200,200,0,2091
201,201,0,91c0
202,202,0,2544
203,203,0,f110
204,204,0,0514
205,205,0,fcd4
206,206,0,3810
207,207,0,6c93
